citekey,title,year,journal,doi,source_url,pubmed_url,review_url
Allar_2022_Lost_translation,Lost in translation: A qualitative analysis of facilitators and barriers to collecting patient reported outcome measures for surgical patients with limited English proficiency,2022,The American Journal of Surgery,10.1016/j.amjsurg.2022.03.005,https://doi.org/10.1016/j.amjsurg.2022.03.005,https://pubmed.ncbi.nlm.nih.gov/35339269/,https://SITE_BASE/review/accuracy/%40Allar_2022_Lost_translation
Chen_2017_Machine_Human,Machine or Human? Evaluating the Quality of a Language Translation Mobile App for Diabetes Education Material,2017,JMIR Diabetes,10.2196/diabetes.7446,https://doi.org/10.2196/diabetes.7446,https://pubmed.ncbi.nlm.nih.gov/30291084/,https://SITE_BASE/review/accuracy/%40Chen_2017_Machine_Human
Colina_2022_Research_Documents,Research Documents for Populations with Limited English Proficiency: Translation Approaches Matter,2022,Ethics Hum Res,10.1002/eahr.500115,https://doi.org/10.1002/eahr.500115,https://pubmed.ncbi.nlm.nih.gov/34936237/,https://SITE_BASE/review/accuracy/%40Colina_2022_Research_Documents
Das_2019_Dangers_Machine,Dangers of Machine Translation: The Need for Professionally Translated Anticipatory Guidance Resources for Limited English Proficiency Caregivers,2019,Clinical Pediatrics,10.1177/0009922818809494,https://doi.org/10.1177/0009922818809494,https://pubmed.ncbi.nlm.nih.gov/30392383/,https://SITE_BASE/review/accuracy/%40Das_2019_Dangers_Machine
Davis_2019_Translating_Discharge,Translating Discharge Instructions for Limited English-Proficient Families: Strategies and Barriers,2019,Hospital Pediatrics,10.1542/hpeds.2019-0055,https://doi.org/10.1542/hpeds.2019-0055,https://pubmed.ncbi.nlm.nih.gov/31562199/,https://SITE_BASE/review/accuracy/%40Davis_2019_Translating_Discharge
Hibbs_2026_Translation_Approaches,Translation approaches to support systemic anti-cancer therapy consent for individuals with limited English proficiency.,2026,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,10.1007/s00520-026-10464-w,https://doi.org/10.1007/s00520-026-10464-w,https://pubmed.ncbi.nlm.nih.gov/41824083/,https://SITE_BASE/review/accuracy/%40Hibbs_2026_Translation_Approaches
Hwang_2022_Testing_use,Testing the use of translation apps to overcome everyday healthcare communication in Australian aged-care hospital wards-An exploratory study,2022,Nursing Open,10.1002/nop2.1099,https://doi.org/10.1002/nop2.1099,https://pubmed.ncbi.nlm.nih.gov/34704379/,https://SITE_BASE/review/accuracy/%40Hwang_2022_Testing_use
J_2025_Pilot_study,Pilot study of provider adherence to language services for surgical patients with limited English proficiency,2025,American journal of surgery,10.1016/j.amjsurg.2025.116473,https://doi.org/10.1016/j.amjsurg.2025.116473,https://pubmed.ncbi.nlm.nih.gov/40554129/,https://SITE_BASE/review/accuracy/%40J_2025_Pilot_study
Joshua_2023_Multilingual_Chatbot,A Multilingual Chatbot Can Effectively Engage Arthroplasty Patients Who Have Limited English Proficiency,2023,Journal of Arthroplasty,10.1016/j.arth.2023.04.014,https://doi.org/10.1016/j.arth.2023.04.014,https://pubmed.ncbi.nlm.nih.gov/37068567/,https://SITE_BASE/review/accuracy/%40Joshua_2023_Multilingual_Chatbot
Kapoor_2022_Use_Neural,Use of Neural Machine Translation Software for Patients With Limited English Proficiency to Assess Postoperative Pain and Nausea,2022,JAMA,10.1001/jamanetworkopen.2022.1485,https://doi.org/10.1001/jamanetworkopen.2022.1485,https://pubmed.ncbi.nlm.nih.gov/35258580/,https://SITE_BASE/review/accuracy/%40Kapoor_2022_Use_Neural
